price,rooms,area,build_year,condition,energy_mark,bedrooms,prepayment,floor,total_floors,copy_not_allowed,no_broker_allowed,images_attached,is_owner,utility_summer,utility_winter,county,mun_or_city,street_adr,house_type,heating,furnished,washing_machine,balcony,yard,terrace,parking,has_internet,has_security_door,has_video_surveillance,has_storage,has_first_rent,has_deposit,has_commission,has_contract_fee,description_header_is_all_caps,description_header_length
777.0,2.0,41.2,2021.0,3.0,7.0,1.0,,4.0,5.0,False,False,12.0,False,,,Harjumaa,Tallinn,Kalaranna 8/11,Kivimaja,keskküte,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,41.0
600.0,2.0,42.5,1988.0,4.0,4.0,1.0,,2.0,5.0,False,False,25.0,False,,,Harjumaa,Tallinn,E. Vilde tee 105,Paneelmaja,keskküte,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False,43.0
300.0,3.0,68.2,1991.0,3.0,,2.0,,3.0,3.0,False,False,26.0,False,200.0,300.0,Tartumaa,Tartu,Paju 3,,,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,34.0
950.0,3.0,53.0,1940.0,4.0,,2.0,950.0,2.0,2.0,True,True,22.0,True,,,Harjumaa,Tallinn,Magasini 3,,põrandaküte,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,49.0
920.0,4.0,91.1,2014.0,3.0,7.0,3.0,,1.0,2.0,False,False,46.0,False,75.0,170.0,Tartumaa,Tartu,Pähna 11 11,Kivimaja,maaküte,False,True,True,False,True,True,True,False,False,False,True,True,False,True,False,43.0
200.0,1.0,24.0,,3.0,,,,2.0,2.0,False,False,10.0,False,,,Tartumaa,Tartu,Võru 55b,Puitmaja,ahjuküte,True,True,False,False,False,True,True,False,False,True,True,True,True,False,True,41.0
798.0,2.0,52.0,2016.0,5.0,7.0,1.0,,3.0,6.0,False,False,20.0,False,110.0,190.0,Harjumaa,Tallinn,Põhja pst 5,Kivimaja,keskküte,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,40.0
500.0,1.0,30.0,1962.0,5.0,,1.0,,,,False,False,27.0,False,35.0,90.0,Harjumaa,Tallinn,Liivalaia 42,Kivimaja,keskküte,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,33.0
350.0,1.0,18.0,2018.0,5.0,6.0,1.0,250.0,2.0,5.0,False,False,32.0,False,50.0,85.0,Harjumaa,Tallinn,Ehitajate tee 60,Kivimaja,,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,0.0
600.0,3.0,70.0,,,,,,2.0,5.0,False,False,15.0,False,,,Harjumaa,Tallinn,Kreutswaldi,Kivimaja,keskküte,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,0.0
